location,species
G-truncatulinoides/332021c02e044485aba20e0856504621.tif,G-truncatulinoides
G-truncatulinoides/0ce4a6b3ae3b4e67a685cc4bbb240a85.tif,G-truncatulinoides
G-sacculifer/de606c745ed74c8c9a1fd539d0af58e2.tif,G-sacculifer
N-humerosa/31244811a7e2467d94d61439cbce06d5.tif,N-humerosa
G-crassaformis/5f5d828f92df4b8c8c315369e49e8c61.tif,G-crassaformis
G-tumida/ea1f469905aa4c0d95ea268a851fa0fd.tif,G-tumida
N-humerosa/064973c826fc45cc9422720141778ff9.tif,N-humerosa
G-sacculifer/e94a6fa0d5c4466e8a59b58dc506b69e.tif,G-sacculifer
N-acostaensis/8d37eb3061df47fcaa18f0964ed053d9.tif,N-acostaensis
G-ruber/f4d03a111b154e99bae19835f887342a.tif,G-ruber
G-sacculifer/6d24c6e0e0674511a14d18fce9ebe7a9.tif,G-sacculifer
G-truncatulinoides/7c89576fceda4178ad0451590e268e1a.tif,G-truncatulinoides
N-humerosa/2b4ccdd7b9db4a8e89e28ac6b641fbdc.tif,N-humerosa
G-ruber/1eeb37b4eb1642d185a55d2eea1a11d9.tif,G-ruber
G-sacculifer/9aef1ee3311e45c28a03ef19ebbde430.tif,G-sacculifer
G-scitula/0dffcd5e3e934ceb919604f6942fb4cb.tif,G-scitula
G-crassaformis/1ca5a10d5c574ca8896cbcec9dcadbe6.tif,G-crassaformis
G-scitula/4a77e3acd90c41ed87c064596d9660e7.tif,G-scitula
G-siphonifera/8636cd7de77b42e68fed99a57fa96241.tif,G-siphonifera
G-ruber/bb4bee0060a243829ac92c9e0629eedf.tif,G-ruber
P-obliquiloculata/c9b00029966146f099a8eb2f28be1282.tif,P-obliquiloculata
G-truncatulinoides/cb196eca1f184997804f7468ab6d62ac.tif,G-truncatulinoides
G-tumida/36231b976eb84413bfd4ef7b470ebcb5.tif,G-tumida
N-dutertrei/15b4d51e0c6e4300a715e3d6727989c6.tif,N-dutertrei
G-tumida/b42ad463fad24456a47efb6771a39194.tif,G-tumida
G-sacculifer/e4f2eac5e7b74f309d9ec804abd68bcc.tif,G-sacculifer
S-dehiscen/7455546434b74cec9e250c1cedd646bf.tif,S-dehiscen
G-crassaformis/8a629672f0a249d98c7ae391c29488f0.tif,G-crassaformis
N-acostaensis/ca6d41fb78de444894f6c0a1a7112007.tif,N-acostaensis
G-sacculifer/0494194e42854198a902912ef79770c2.tif,G-sacculifer
P-obliquiloculata/4cdc4ff506f4478d8d277feba6f6dc25.tif,P-obliquiloculata
G-ruber/dbf258595c1d465e9b5eaec76bafe951.tif,G-ruber
S-dehiscen/90a5d8004a214617b83de475589a8a6e.tif,S-dehiscen
N-humerosa/cf205f501ea4403789eeb360012a5eef.tif,N-humerosa
G-sacculifer/2130c81fa8ee47a9b8044c7a2eb0ec28.tif,G-sacculifer
G-ungulata/ab52cbe73349464fa678163953efd56b.tif,G-ungulata
N-dutertrei/ea60e7a9f4e94a97bb41fc158d930297.tif,N-dutertrei
G-crassaformis/186edaa31fc24a8a903db36568295cca.tif,G-crassaformis
N-humerosa/a9976dc07c5048d1952b43c9ddf463f4.tif,N-humerosa
G-ruber/53ff2cc11b374834ad783bf782c764da.tif,G-ruber
S-dehiscen/a10c26edca7c4cd9b0e0e919b2a45f80.tif,S-dehiscen
