location,species
G-tumida/412e9bffe2ff48509ba14c7d6a484441.tif,G-tumida
G-sacculifer/2ceef6eb97854a9eacb5e0b5c50ec4b7.tif,G-sacculifer
G-crassaformis/8ad1ddd426884129a3f7539251609d3c.tif,G-crassaformis
N-humerosa/a09e5b2be33d444e89e9bb93257275df.tif,N-humerosa
N-dutertrei/741c72e339574a6987ebbfd9f9590839.tif,N-dutertrei
N-acostaensis/da00d79260674fe4bce416f64ba6586e.tif,N-acostaensis
G-ungulata/535f4fe01e6343e197bce1b850a6efc4.tif,G-ungulata
G-tumida/65421a0da1c841e5866908b4ec782fa2.tif,G-tumida
P-obliquiloculata/d68f54a8a24143f7a0434e7b7ca32f3f.tif,P-obliquiloculata
G-siphonifera/b77207f4218e43dba2e39b8e7d17de11.tif,G-siphonifera
G-truncatulinoides/d42236fd89174b46a189814346e3ac6c.tif,G-truncatulinoides
G-truncatulinoides/e356da6a0092405f9dab759b77506c70.tif,G-truncatulinoides
G-truncatulinoides/9f3b6d34fc084dcd9eb07e9282a21f29.tif,G-truncatulinoides
P-obliquiloculata/9c9d156d141a42fdaeeca08fdb6aac2b.tif,P-obliquiloculata
G-ruber/8ac141e8fe8b4741a3a14e945a8227d9.tif,G-ruber
G-sacculifer/f58a3ac393ea4897bdc808704404d29d.tif,G-sacculifer
G-ruber/8edde4910f1d48b28d8f46ad5dcd012b.tif,G-ruber
N-humerosa/3c3f6186df6d4cb28c90547d153bb9dc.tif,N-humerosa
N-acostaensis/e67818b6d9cc49ae9955fa7ca850290b.tif,N-acostaensis
G-crassaformis/21e94ce8ba99407985e24a167310af7e.tif,G-crassaformis
S-dehiscen/77b95d793df04ca99acef1fa2a7bb851.tif,S-dehiscen
G-ungulata/42397fd7d8d74eeca11a22a3e0f76c0e.tif,G-ungulata
G-sacculifer/0895f260270240e9a41b785ef7d05e37.tif,G-sacculifer
G-tumida/83f0eb50f2804057972183750d185105.tif,G-tumida
G-elongatus/00fe6a4b0d24429fbe4d7479530ec048.tif,G-elongatus
P-obliquiloculata/7a16f4a8d1e541208f6e676749ae743f.tif,P-obliquiloculata
P-obliquiloculata/77c48eb49945411bac35301f0851c7d9.tif,P-obliquiloculata
N-humerosa/2e00dc0935f24b77ab44cdc620df5526.tif,N-humerosa
G-elongatus/7564c8c1e08341ce9cfed91f71f41869.tif,G-elongatus
G-tumida/321f4948b9c2416d9b7ad38843284fb6.tif,G-tumida
N-dutertrei/6efce1e828c4441987c8f24278d8e7c9.tif,N-dutertrei
N-acostaensis/05998bf3e2d94da28c3aa9905f4e8eae.tif,N-acostaensis
G-elongatus/3248848eefd9421bba0368200b4cc6d4.tif,G-elongatus
G-truncatulinoides/b28ca684a4d9468299546693279f4fa8.tif,G-truncatulinoides
G-ruber/0402d680b60a4d59abc474cd2f26a1d0.tif,G-ruber
G-sacculifer/fff4829ae7504186b8f40eafb4b0c7f9.tif,G-sacculifer
G-siphonifera/fe8bcb9244d8417a8d51a68aaa2a1825.tif,G-siphonifera
G-scitula/99d81c55684344ada72ef0f987e80459.tif,G-scitula
P-obliquiloculata/5ce1c29971084d2d9494d606f0e6b308.tif,P-obliquiloculata
G-scitula/6616c0260b744b4fbd56ae90cd40ccb4.tif,G-scitula
S-dehiscen/24524dba22bf45dd93bdaa1dee6e0f7d.tif,S-dehiscen
G-sacculifer/3a2f24fbcc9145b08a170ec671157ec0.tif,G-sacculifer
N-humerosa/31d384ded960426981c519789677da9e.tif,N-humerosa
G-tumida/fcb6b4a7ef0d49d2be279e8adf6ffe44.tif,G-tumida
G-tumida/d1aa8567994b4d5c895cb592ae634506.tif,G-tumida
N-dutertrei/565e73f16d734229a08bf881b42886d9.tif,N-dutertrei
P-obliquiloculata/8c8b7345743d466896d6c6192db8ff0c.tif,P-obliquiloculata
G-truncatulinoides/a6e8add33f1a4a2280a3b926d4d7dd0e.tif,G-truncatulinoides
S-dehiscen/8a479cb7c07a4e5385296123231bc666.tif,S-dehiscen
N-acostaensis/1ef649c9584440959e5f1b11afade0fa.tif,N-acostaensis
G-sacculifer/8d7e800571d14544860d4e8faf8d7f81.tif,G-sacculifer
G-scitula/44e71198caba4574b014f59e6e52d5c8.tif,G-scitula
N-humerosa/9c92e44bfd5940afb7433f47ee4cec0e.tif,N-humerosa
G-truncatulinoides/e96faaf3b572474190750135d6a57982.tif,G-truncatulinoides
G-ungulata/b789b769f5784b25bc7c7615641dfdf3.tif,G-ungulata
G-tumida/3b3cda9372aa4751b27a92d8c936a3b5.tif,G-tumida
G-siphonifera/614e28887fd84a17a8ffecec332bf48f.tif,G-siphonifera
G-elongatus/1c66f60eafea4c4d90a742d7a95e7563.tif,G-elongatus
G-tumida/aa59ccc02f154641b781683ff955f666.tif,G-tumida
G-ruber/d2e1e7906dfb43998fdf6a5b95d19460.tif,G-ruber
S-dehiscen/93e1006a09cf4125a766c5803f250929.tif,S-dehiscen
G-sacculifer/277eff7f0eaf4cea868917e24ecee8af.tif,G-sacculifer
G-sacculifer/16a2e048a4a04ac7b05490fa775ca9e0.tif,G-sacculifer
G-ruber/42e66ad732124912b815b1d91ca58c41.tif,G-ruber
G-crassaformis/906f173426534a5095e3d561eb2fd778.tif,G-crassaformis
G-scitula/33de235eec764882842087802c787bcb.tif,G-scitula
G-ungulata/a4647f7175e949c594891a0add9e778b.tif,G-ungulata
N-acostaensis/36addc91826d4a83ad0219ce2de72f5f.tif,N-acostaensis
G-scitula/74e84bfeaadd42188b01117279c57968.tif,G-scitula
G-truncatulinoides/739ef4fa634c47a18809b80551be4a91.tif,G-truncatulinoides
G-truncatulinoides/51743401c6de406aa654d0f69a54f56f.tif,G-truncatulinoides
N-humerosa/65b0172e2d904212af6494f72fb1aa60.tif,N-humerosa
S-dehiscen/d38485d01f904df5bb47ad0e45003ebe.tif,S-dehiscen
G-sacculifer/251117f3ce9f4bd3b4cfab3378dfba16.tif,G-sacculifer
G-sacculifer/62cfa6df6cbc4512addc18bef58e7798.tif,G-sacculifer
P-obliquiloculata/f43833e28be649e181679247e4c714ee.tif,P-obliquiloculata
G-sacculifer/428b5ab4a1c244d38e1d06f0a2ca3d2c.tif,G-sacculifer
N-acostaensis/3618c04b2c48485788bfe3d85fd90eb0.tif,N-acostaensis
N-acostaensis/7db315d199774e349d42059427a89d4e.tif,N-acostaensis
S-dehiscen/d244a16dcdf34e8db24460c93cc6dc28.tif,S-dehiscen
G-sacculifer/0e14a99f1f7a4a41a240ec2ba20b7030.tif,G-sacculifer
G-siphonifera/c7982b0c8fc44c678d2573e00e4df1a6.tif,G-siphonifera
G-elongatus/f12b41eef16b4b33aa80101628f803cb.tif,G-elongatus
G-crassaformis/86e6dbeefcb747e592710a44aa021cd6.tif,G-crassaformis
G-tumida/3cb31fcd4074407d99b4887603a11152.tif,G-tumida
G-truncatulinoides/73e7bf7670c042d6bf742a223b191770.tif,G-truncatulinoides
G-truncatulinoides/00c03a2ce4564d07990b24e8b05aa5d8.tif,G-truncatulinoides
G-ruber/4bc0124f21614008bc8957ed8bb59c9f.tif,G-ruber
S-dehiscen/8d5f8818dbf2494ab9aab50fef1713ac.tif,S-dehiscen
P-obliquiloculata/e1d53a8a7db44483be66c19171448c4e.tif,P-obliquiloculata
G-scitula/094373ab4224460db2b1e65d32eeb272.tif,G-scitula
G-scitula/15ed5f51580c4cd78d76dc98ab2912d5.tif,G-scitula
G-tumida/b5e2c41facee4017bccc462f2df0fefe.tif,G-tumida
G-sacculifer/b65864330db1444cb3ee10902eec33cc.tif,G-sacculifer
G-truncatulinoides/a8218e0b9f094acb9b4d8b1d0a620fe2.tif,G-truncatulinoides
G-scitula/8f221c9c754f43cda8a1d57a0b03e346.tif,G-scitula
S-dehiscen/f44a04374c8d484a9de718dffbc04be7.tif,S-dehiscen
G-ruber/2f6e78c76f4843aaa3edd5c5d7cf0a7c.tif,G-ruber
G-truncatulinoides/dc070ca351f84f699829e1312fe0ca28.tif,G-truncatulinoides
G-sacculifer/83fc2257653844bea31dc27fa7bc2220.tif,G-sacculifer
P-obliquiloculata/235ee73e8f3b4ab58b69003181018401.tif,P-obliquiloculata
S-dehiscen/7ca25cd125f941ce9e03fcff281ed8ce.tif,S-dehiscen
N-humerosa/1c64c7b2735b4361ab130b5e4e464993.tif,N-humerosa
G-tumida/7ec762eccfc8476b8ab5404d4b34d1ca.tif,G-tumida
G-tumida/c244432f13d54b4ea60d2fa011a59393.tif,G-tumida
S-dehiscen/a1593cd33a2449628a2ad56ef3469b54.tif,S-dehiscen
N-dutertrei/ca737102a8aa4291b7995ef1c6d0951e.tif,N-dutertrei
G-siphonifera/805f7f414ebd4c5e849ca67e4b1c38a1.tif,G-siphonifera
G-truncatulinoides/9369941bc2bb4b71be9344dba2ebe489.tif,G-truncatulinoides
G-tumida/af4bcfc078e3413a836370ef646e90ae.tif,G-tumida
S-dehiscen/33892b558bee4b80a027c0c09a4246bd.tif,S-dehiscen
G-scitula/b2cd35c8925941b98ed972459c57ce68.tif,G-scitula
G-ungulata/d2eb77e78fa949a69a1b2435b73f26a0.tif,G-ungulata
G-ruber/9a26303cb35d4494b6030976bedc9ddf.tif,G-ruber
G-ruber/783e62d1ad0c414fb530b785c9e5009d.tif,G-ruber
G-ruber/0cfaeaf3b8e84842a06e81c183b6362f.tif,G-ruber
G-truncatulinoides/c39eaec8f7ca40c9b5433349e47168da.tif,G-truncatulinoides
G-sacculifer/1e2ddbb2d70640dfae5ddce59c5c1645.tif,G-sacculifer
N-acostaensis/2f5dbeb66e444caabfcd8e369f3e5d52.tif,N-acostaensis
G-elongatus/e9e2f4e13b8b4c96b55364925f4a4ec8.tif,G-elongatus
G-scitula/b5b8e79c4f0042b6b9b6af9f607cd655.tif,G-scitula
