,phase,epoch_loss,epoch_acc
0,train,2.6149544003036924,"tensor(0.1846, device='cuda:1', dtype=torch.float64)"
1,val,1.9760294562826555,"tensor(0.3802, device='cuda:1', dtype=torch.float64)"
2,train,2.1776673212063447,"tensor(0.3338, device='cuda:1', dtype=torch.float64)"
3,val,2.0143836019560695,"tensor(0.4167, device='cuda:1', dtype=torch.float64)"
4,train,2.0435286677441313,"tensor(0.3515, device='cuda:1', dtype=torch.float64)"
5,val,1.3841640291114647,"tensor(0.5573, device='cuda:1', dtype=torch.float64)"
6,train,1.7954031409114108,"tensor(0.4475, device='cuda:1', dtype=torch.float64)"
7,val,0.9567003933091959,"tensor(0.7448, device='cuda:1', dtype=torch.float64)"
8,train,1.6373120816106592,"tensor(0.4918, device='cuda:1', dtype=torch.float64)"
9,val,1.4513529477020104,"tensor(0.5729, device='cuda:1', dtype=torch.float64)"
10,train,1.6295538221388188,"tensor(0.4741, device='cuda:1', dtype=torch.float64)"
11,val,0.9034215702364842,"tensor(0.7240, device='cuda:1', dtype=torch.float64)"
12,train,1.5956283595257552,"tensor(0.5133, device='cuda:1', dtype=torch.float64)"
13,val,1.0835986025631428,"tensor(0.6562, device='cuda:1', dtype=torch.float64)"
14,train,1.23275927165064,"tensor(0.6106, device='cuda:1', dtype=torch.float64)"
15,val,0.646213721173505,"tensor(0.8099, device='cuda:1', dtype=torch.float64)"
16,train,1.0781111934242298,"tensor(0.6776, device='cuda:1', dtype=torch.float64)"
17,val,0.5288912033041319,"tensor(0.8411, device='cuda:1', dtype=torch.float64)"
18,train,1.040849327664309,"tensor(0.6839, device='cuda:1', dtype=torch.float64)"
19,val,0.4836913874993722,"tensor(0.8594, device='cuda:1', dtype=torch.float64)"
20,train,0.9638755220528951,"tensor(0.7118, device='cuda:1', dtype=torch.float64)"
21,val,0.48564173219104606,"tensor(0.8516, device='cuda:1', dtype=torch.float64)"
22,train,1.0012584064160526,"tensor(0.7029, device='cuda:1', dtype=torch.float64)"
23,val,0.47584733304878074,"tensor(0.8542, device='cuda:1', dtype=torch.float64)"
24,train,0.9267887075993264,"tensor(0.7244, device='cuda:1', dtype=torch.float64)"
25,val,0.47527958018084365,"tensor(0.8776, device='cuda:1', dtype=torch.float64)"
26,train,0.8911537632779436,"tensor(0.7206, device='cuda:1', dtype=torch.float64)"
27,val,0.4506107736378908,"tensor(0.8646, device='cuda:1', dtype=torch.float64)"
28,train,0.8828810641045215,"tensor(0.7497, device='cuda:1', dtype=torch.float64)"
29,val,0.43964634959896404,"tensor(0.8620, device='cuda:1', dtype=torch.float64)"
30,train,0.9082894050969487,"tensor(0.7345, device='cuda:1', dtype=torch.float64)"
31,val,0.455693328132232,"tensor(0.8646, device='cuda:1', dtype=torch.float64)"
32,train,0.909411018024353,"tensor(0.7219, device='cuda:1', dtype=torch.float64)"
33,val,0.4310759001721938,"tensor(0.8672, device='cuda:1', dtype=torch.float64)"
34,train,0.9222744031516098,"tensor(0.7219, device='cuda:1', dtype=torch.float64)"
35,val,0.4388684071600437,"tensor(0.8724, device='cuda:1', dtype=torch.float64)"
36,train,0.93463280408934,"tensor(0.7054, device='cuda:1', dtype=torch.float64)"
37,val,0.4414077742646138,"tensor(0.8672, device='cuda:1', dtype=torch.float64)"
38,train,0.8440009387947063,"tensor(0.7636, device='cuda:1', dtype=torch.float64)"
39,val,0.4294464938963453,"tensor(0.8776, device='cuda:1', dtype=torch.float64)"
40,train,0.9091581957680839,"tensor(0.7269, device='cuda:1', dtype=torch.float64)"
41,val,0.4456626195460558,"tensor(0.8724, device='cuda:1', dtype=torch.float64)"
42,train,0.8605883911195507,"tensor(0.7509, device='cuda:1', dtype=torch.float64)"
43,val,0.423366904258728,"tensor(0.8750, device='cuda:1', dtype=torch.float64)"
44,train,0.9042416851680288,"tensor(0.7168, device='cuda:1', dtype=torch.float64)"
45,val,0.46580205236872035,"tensor(0.8724, device='cuda:1', dtype=torch.float64)"
46,train,0.9215582342425128,"tensor(0.7257, device='cuda:1', dtype=torch.float64)"
47,val,0.4343111713727315,"tensor(0.8724, device='cuda:1', dtype=torch.float64)"
48,train,0.9312969613467095,"tensor(0.7295, device='cuda:1', dtype=torch.float64)"
49,val,0.438092735906442,"tensor(0.8802, device='cuda:1', dtype=torch.float64)"
