,phase,epoch_loss,epoch_acc
0,train,2.5637524884509677,"tensor(0.2111, device='cuda:0', dtype=torch.float64)"
1,val,2.175100968529781,"tensor(0.3516, device='cuda:0', dtype=torch.float64)"
2,train,2.276020129019331,"tensor(0.2920, device='cuda:0', dtype=torch.float64)"
3,val,1.9284079341838758,"tensor(0.4323, device='cuda:0', dtype=torch.float64)"
4,train,1.994366497667942,"tensor(0.3704, device='cuda:0', dtype=torch.float64)"
5,val,1.2288201451301575,"tensor(0.5573, device='cuda:0', dtype=torch.float64)"
6,train,1.7806960273482253,"tensor(0.4488, device='cuda:0', dtype=torch.float64)"
7,val,1.0345908887684345,"tensor(0.6719, device='cuda:0', dtype=torch.float64)"
8,train,1.657369754106447,"tensor(0.4842, device='cuda:0', dtype=torch.float64)"
9,val,0.9714474342763424,"tensor(0.6823, device='cuda:0', dtype=torch.float64)"
10,train,1.5913661065806932,"tensor(0.4905, device='cuda:0', dtype=torch.float64)"
11,val,1.066273657605052,"tensor(0.6641, device='cuda:0', dtype=torch.float64)"
12,train,1.563286701285583,"tensor(0.5158, device='cuda:0', dtype=torch.float64)"
13,val,0.9399073577175537,"tensor(0.7214, device='cuda:0', dtype=torch.float64)"
14,train,1.2057602898360202,"tensor(0.6245, device='cuda:0', dtype=torch.float64)"
15,val,0.598415769636631,"tensor(0.8255, device='cuda:0', dtype=torch.float64)"
16,train,1.1296909365581653,"tensor(0.6511, device='cuda:0', dtype=torch.float64)"
17,val,0.5490064534048239,"tensor(0.8281, device='cuda:0', dtype=torch.float64)"
18,train,1.0728396645990848,"tensor(0.6751, device='cuda:0', dtype=torch.float64)"
19,val,0.5668746177107096,"tensor(0.8307, device='cuda:0', dtype=torch.float64)"
20,train,1.0107273356200168,"tensor(0.6928, device='cuda:0', dtype=torch.float64)"
21,val,0.4969620431462924,"tensor(0.8542, device='cuda:0', dtype=torch.float64)"
22,train,0.9852226433425426,"tensor(0.7054, device='cuda:0', dtype=torch.float64)"
23,val,0.506254347662131,"tensor(0.8516, device='cuda:0', dtype=torch.float64)"
24,train,0.9966311581366885,"tensor(0.6991, device='cuda:0', dtype=torch.float64)"
25,val,0.5006811444958051,"tensor(0.8490, device='cuda:0', dtype=torch.float64)"
26,train,0.9629617200036417,"tensor(0.7181, device='cuda:0', dtype=torch.float64)"
27,val,0.48958014075954753,"tensor(0.8438, device='cuda:0', dtype=torch.float64)"
28,train,0.9393358548582731,"tensor(0.7067, device='cuda:0', dtype=torch.float64)"
29,val,0.49165481701493263,"tensor(0.8464, device='cuda:0', dtype=torch.float64)"
30,train,0.984915621512759,"tensor(0.6915, device='cuda:0', dtype=torch.float64)"
31,val,0.5076904594898224,"tensor(0.8411, device='cuda:0', dtype=torch.float64)"
32,train,0.9798563956912941,"tensor(0.6890, device='cuda:0', dtype=torch.float64)"
33,val,0.4952148956557115,"tensor(0.8542, device='cuda:0', dtype=torch.float64)"
34,train,0.9276403254263018,"tensor(0.7358, device='cuda:0', dtype=torch.float64)"
35,val,0.4855629578232765,"tensor(0.8438, device='cuda:0', dtype=torch.float64)"
36,train,0.8857162978344711,"tensor(0.7396, device='cuda:0', dtype=torch.float64)"
37,val,0.4680124366035064,"tensor(0.8490, device='cuda:0', dtype=torch.float64)"
38,train,0.8558925388736459,"tensor(0.7396, device='cuda:0', dtype=torch.float64)"
39,val,0.482078251739343,"tensor(0.8359, device='cuda:0', dtype=torch.float64)"
40,train,0.9563952300099446,"tensor(0.7080, device='cuda:0', dtype=torch.float64)"
41,val,0.5029118495682875,"tensor(0.8516, device='cuda:0', dtype=torch.float64)"
42,train,0.9333135369981436,"tensor(0.7257, device='cuda:0', dtype=torch.float64)"
43,val,0.48117773483196896,"tensor(0.8594, device='cuda:0', dtype=torch.float64)"
44,train,0.8856419486884974,"tensor(0.7459, device='cuda:0', dtype=torch.float64)"
45,val,0.4830195450534423,"tensor(0.8516, device='cuda:0', dtype=torch.float64)"
46,train,0.8033962720715442,"tensor(0.7649, device='cuda:0', dtype=torch.float64)"
47,val,0.4732155203819275,"tensor(0.8568, device='cuda:0', dtype=torch.float64)"
48,train,0.8988686313313419,"tensor(0.7396, device='cuda:0', dtype=torch.float64)"
49,val,0.4775888994336128,"tensor(0.8568, device='cuda:0', dtype=torch.float64)"
